usertoken,visGroup,trial_duration,vars,varIndex,prior_belief,prior_lwr,prior_upr,post_belief,post_lwr,post_upr,diff_belief,diff_uncertainty,pop_corr,sample_corr,post_error,post_error_abs,prior_uncertainty,post_uncertainty,prior_sd,post_sd,exclude
09rIYGes,line,19447,Labor union participation_Corporate profits,8,-0.060997727,-0.51524145,0.393245996,-0.43693966,-1,0.12612068,-0.37594,0.21763,-0.4,-0.41,-0.02693966,0.02693966,0.908487446,1.12612068,0.227121861,0.28153017,0
09rIYGes,scatter,31280,Temperature_Crime rate,1,0.394927618,-0.116227851,0.906083086,0.973588801,0.152424118,1,0.57866,-0.17474,0.4,0.4,0.573588801,0.573588801,1.022310937,0.847575882,0.255577734,0.410582341,0
09rIYGes,scatter,29627,Temperature_Sales of Mittens,0,-0.571773563,-0.860538787,-0.28300834,-1,-1,-0.50145719,-0.42823,-0.07899,-0.9,-0.89,-0.11,0.11,0.577530447,0.49854281,0.144382612,0.249271405,0
09rIYGes,line,21714,Vaccination rate_Rate of illness,7,-0.32336122,-1,0.35327756,-0.751042625,-1,-0.50208525,-0.42768,-0.85536,-0.9,-0.89,0.138957375,0.138957375,1.35327756,0.49791475,0.33831939,0.124478687,0
09rIYGes,scatter,10508,Weight_Price,3,1,0.761972489,1,1,0.665471394,1,0,0.0965,0.9,0.9,0.1,0.1,0.238027511,0.334528606,0.119013756,0.167264303,0
09rIYGes,scatter,9826,Yearly income_Height,4,0.135356267,-0.553815472,0.824528005,0.138692603,-0.722614794,1,0.00334,0.34427,0,0.02,0.118692603,0.118692603,1.378343477,1.722614794,0.344585869,0.430653699,0
0FGSpKJI,band,3302,Exercise amount_Body weight,5,-0.205526384,-0.558418303,0.147365534,0.415657755,-0.086799017,0.918114527,0.62118,0.29913,-0.4,-0.42,0.835657755,0.835657755,0.705783838,1.004913544,0.176445959,0.251228386,0
0FGSpKJI,scatter,145208,Government spending_Budget deficit,0,0.358654226,-0.507500491,1,0.056562436,-0.642227199,0.755352072,-0.30209,-0.10992,0.9,0.93,-0.873437564,0.873437564,1.507500491,1.39757927,0.433077358,0.349394818,0
0FGSpKJI,scatter,3116,Immigrant population_Economic growth,3,0.372661947,-0.439198023,1,-0.765311856,-1,-0.00777898,-1.13797,-0.44698,0.4,0.44,-1.205311856,1.205311856,1.439198023,0.99222102,0.405929985,0.378766438,0
0FGSpKJI,scatter,4697,Income tax rate_Poverty rate,4,0.12706716,-0.507873908,0.762008227,0.53953301,0.222095129,0.856970891,0.41247,-0.63501,0,0.08,0.45953301,0.45953301,1.269882134,0.634875762,0.317470534,0.158718941,0
0FGSpKJI,scatter,3164,Labor union participation_Corporate profits,2,0.165376599,-0.28334956,0.614102758,-0.012563676,-0.718179553,0.6930522,-0.17794,0.51378,-0.4,-0.41,0.397436324,0.397436324,0.897452317,1.411231753,0.224363079,0.352807938,0
0FGSpKJI,band,3930,Temperature_Crime rate,7,-0.391393848,-0.854660074,0.071872378,0.399406198,0.010566392,0.788246003,0.7908,-0.14885,0.4,0.4,-0.000593802,0.000593802,0.926532452,0.777679611,0.231633113,0.194419903,0
0FGSpKJI,band,4858,Temperature_Sales of Mittens,9,0.570038003,-0.014440059,1,0.069408943,-0.39726293,0.536080817,-0.50063,-0.0811,-0.9,-0.89,0.959408943,0.959408943,1.014440059,0.933343747,0.292239031,0.233335937,0
0FGSpKJI,scatter,3666,Vaccination rate_Rate of illness,1,0.392059669,-0.059102225,0.843221563,1,0.627464851,1,0.60794,-0.52979,-0.9,-0.89,1.89,1.89,0.902323788,0.372535149,0.225580947,0.186267575,0
0FGSpKJI,band,29932,Weight_Price,6,0.613151405,-0.56315107,1,-0.356755923,-0.950246571,0.236734726,-0.96991,-0.37617,0.9,0.9,-1.256755923,1.256755923,1.56315107,1.186981297,0.588151237,0.296745324,0
0FGSpKJI,band,3048,Yearly income_Height,8,-0.05714508,-0.562821674,0.448531513,0.416667747,0.161783934,0.67155156,0.47381,-0.50159,0,0.02,0.396667747,0.396667747,1.011353186,0.509767626,0.252838297,0.127441906,0
0RciEixE,band,11745,Exercise amount_Body weight,5,0.900538338,0.58853325,1,-0.32567306,-0.521282847,-0.130063274,-1.22621,-0.02025,-0.4,-0.42,0.09432694,0.09432694,0.41146675,0.391219573,0.156002544,0.097804893,0
0RciEixE,scatter,6378,Government spending_Budget deficit,4,-0.508359937,-0.803403073,-0.213316801,1,0.919867771,1,1.50836,-0.50995,0.9,0.93,0.07,0.07,0.590086272,0.080132229,0.147521568,0.040066115,0
0RciEixE,scatter,5857,Immigrant population_Economic growth,3,0.476806024,0.309527464,0.644084583,0.605626867,0.211253734,1,0.12882,0.45419,0.4,0.44,0.165626867,0.165626867,0.33455712,0.788746266,0.08363928,0.197186567,0
0RciEixE,scatter,33209,Income tax rate_Poverty rate,1,-0.488128713,-0.696546616,-0.279710809,0.165044031,-0.366503107,0.69659117,0.65317,0.64626,0,0.08,0.085044031,0.085044031,0.416835806,1.063094277,0.104208952,0.265773569,0
0RciEixE,scatter,17435,Labor union participation_Corporate profits,2,-0.398670978,-0.69364717,-0.103694785,-0.941953761,-1,-0.120520026,-0.54328,0.28953,-0.4,-0.41,-0.531953761,0.531953761,0.589952386,0.879479974,0.147488096,0.410716867,0
0RciEixE,band,5132,Temperature_Crime rate,8,-0.487351917,-0.817646202,-0.157057632,0.68221821,0.491671698,0.872764722,1.16957,-0.2795,0.4,0.4,0.28221821,0.28221821,0.660588569,0.381093024,0.165147142,0.095273256,0
0RciEixE,band,6027,Temperature_Sales of Mittens,9,-0.273031041,-0.685249895,0.139187813,-1,-1,-0.938333372,-0.72697,-0.76277,-0.9,-0.89,-0.11,0.11,0.824437708,0.061666628,0.206109427,0.030833314,0
0RciEixE,scatter,58729,Vaccination rate_Rate of illness,0,1,0.871346044,1,-1,-1,-0.922278533,-2,-0.05093,-0.9,-0.89,-0.11,0.11,0.128653956,0.077721467,0.064326978,0.038860734,0
0RciEixE,band,4034,Weight_Price,7,-0.487075501,-0.928967824,-0.045183179,1,0.921242369,1,1.48708,-0.80503,0.9,0.9,0.1,0.1,0.883784646,0.078757631,0.220946161,0.039378815,0
0RciEixE,band,8118,Yearly income_Height,6,0.247786735,0.158958617,0.336614853,0.545190018,0.235431759,0.854948276,0.2974,0.44186,0,0.02,0.525190018,0.525190018,0.177656236,0.619516518,0.044414059,0.154879129,0
0Xp9yMo0,scatter,25825,Exercise amount_Body weight,0,-0.460390146,-0.655009228,-0.265771065,-0.486237927,-0.832384221,-0.140091632,-0.02585,0.30305,-0.4,-0.42,-0.066237927,0.066237927,0.389238162,0.69229259,0.097309541,0.173073147,0
0Xp9yMo0,hop,12709,Government spending_Budget deficit,5,0.803921246,0.652769048,0.955073443,0.809499614,0.667441851,0.951557377,0.00558,-0.01819,0.9,0.93,-0.120500386,0.120500386,0.302304395,0.284115525,0.075576099,0.071028881,0
0Xp9yMo0,hop,14089,Immigrant population_Economic growth,6,0.213466462,-0.103235533,0.530168458,0.0056528,-0.475791301,0.487096901,-0.20781,0.32948,0.4,0.44,-0.4343472,0.4343472,0.633403991,0.962888202,0.158350998,0.240722051,0
0Xp9yMo0,hop,17264,Income tax rate_Poverty rate,8,0.292277946,0.041124866,0.543431027,-0.017583046,-0.540486987,0.505320895,-0.30986,0.5435,0,0.08,-0.097583046,0.097583046,0.50230616,1.045807882,0.12557654,0.26145197,0
0Xp9yMo0,hop,15356,Labor union participation_Corporate profits,7,-0.46458205,-0.677070411,-0.252093689,-0.151362572,-0.362901582,0.060176437,0.31322,-0.0019,-0.4,-0.41,0.258637428,0.258637428,0.424976722,0.423078019,0.10624418,0.105769505,0
0Xp9yMo0,scatter,16075,Temperature_Crime rate,2,0.235653975,0.048185684,0.423122265,0.483144187,0.289797406,0.676490967,0.24749,0.01176,0.4,0.4,0.083144187,0.083144187,0.374936581,0.386693561,0.093734145,0.09667339,0
0Xp9yMo0,scatter,16462,Temperature_Sales of Mittens,4,-0.720792124,-0.785737631,-0.655846617,-0.813436612,-0.88421509,-0.742658135,-0.09264,0.01167,-0.9,-0.89,0.076563388,0.076563388,0.129891014,0.141556955,0.032472754,0.035389239,0
0Xp9yMo0,hop,8353,Vaccination rate_Rate of illness,9,-0.573044121,-0.795411429,-0.350676812,-0.751703382,-0.789607255,-0.71379951,-0.17866,-0.36893,-0.9,-0.89,0.138296618,0.138296618,0.444734617,0.075807745,0.111183654,0.018951936,0
0Xp9yMo0,scatter,14894,Weight_Price,1,0.795927172,0.730547177,0.861307167,0.782729852,0.749322845,0.816136858,-0.0132,-0.06395,0.9,0.9,-0.117270148,0.117270148,0.13075999,0.066814014,0.032689998,0.016703503,0
0Xp9yMo0,scatter,11643,Yearly income_Height,3,-0.001813609,-0.621920986,0.618293768,-0.001498228,-0.391744068,0.388747613,0.00032,-0.45972,0,0.02,-0.021498228,0.021498228,1.240214754,0.780491681,0.310053689,0.19512292,0
0ZjAFmDL,line,64046,Exercise amount_Body weight,5,-0.611578451,-1,-0.223156902,0.598267325,-0.773586044,1,1.20985,0.99674,-0.4,-0.42,1.018267325,1.018267325,0.776843098,1.773586044,0.194210775,0.685926684,0
0ZjAFmDL,scatter,54546,Government spending_Budget deficit,3,-0.392311418,-0.782282325,-0.002340511,1,0.707014379,1,1.39231,-0.48696,0.9,0.93,0.07,0.07,0.779941814,0.292985621,0.194985454,0.14649281,0
0ZjAFmDL,scatter,91819,Immigrant population_Economic growth,4,-0.695295919,-0.780266915,-0.610324923,-0.771348183,-1,0.513464771,-0.07605,1.34352,0.4,0.44,-1.211348183,1.211348183,0.169941993,1.513464771,0.042485498,0.642406477,0
0ZjAFmDL,scatter,116580,Income tax rate_Poverty rate,1,1,1,1,1,-1,1,0,2,0,0.08,0.92,0.92,0,2,0.001,1,0
0ZjAFmDL,scatter,20410,Labor union participation_Corporate profits,2,0.645982658,-0.192948589,1,-0.440871407,-0.886333802,0.004590988,-1.08685,-0.30202,-0.4,-0.41,-0.030871407,0.030871407,1.192948589,0.89092479,0.419465624,0.222731198,0
0ZjAFmDL,line,66509,Temperature_Crime rate,6,0.377962609,0.02307494,0.732850277,0.545133724,0.092259996,0.998007451,0.16717,0.19597,0.4,0.4,0.145133724,0.145133724,0.709775337,0.905747456,0.177443834,0.226436864,0
0ZjAFmDL,line,44253,Temperature_Sales of Mittens,7,1,0.661999769,1,-1,-1,-1,-2,-0.338,-0.9,-0.89,-0.11,0.11,0.338000231,0,0.169000115,0.001,0
0ZjAFmDL,scatter,86653,Vaccination rate_Rate of illness,0,-1,-1,-0.942064911,-0.908690112,-1,-0.746546889,0.09131,0.19552,-0.9,-0.89,-0.018690112,0.018690112,0.057935089,0.253453111,0.028967545,0.081071612,0
0ZjAFmDL,line,59027,Weight_Price,8,0.559337866,0.169867438,0.948808295,1,0.520006352,1,0.44066,-0.29895,0.9,0.9,0.1,0.1,0.778940857,0.479993648,0.194735214,0.239996824,0
0ZjAFmDL,line,22845,Yearly income_Height,9,0.061947476,-0.343289623,0.467184576,-1,-1,-0.715150324,-1.06195,-0.52562,0,0.02,-1.02,1.02,0.810474199,0.284849676,0.20261855,0.142424838,0
1TXFgBI8,band,18052,Exercise amount_Body weight,9,-0.68480645,-0.948095397,-0.421517504,-0.430218543,-0.733105555,-0.127331531,0.25459,0.0792,-0.4,-0.42,-0.010218543,0.010218543,0.526577893,0.605774024,0.131644473,0.151443506,0
1TXFgBI8,scatter,16685,Government spending_Budget deficit,1,0.928419734,0.594316261,1,0.917732881,0.798696014,1,-0.01069,-0.20438,0.9,0.93,-0.012267119,0.012267119,0.405683739,0.201303986,0.167051737,0.059518433,0
1TXFgBI8,scatter,27999,Immigrant population_Economic growth,0,-0.326659304,-0.535826,-0.117492609,0.808082543,0.651226211,0.964938875,1.13474,-0.10462,0.4,0.44,0.368082543,0.368082543,0.418333391,0.313712665,0.104583348,0.078428166,0
1TXFgBI8,scatter,17616,Income tax rate_Poverty rate,4,-0.519695384,-0.831143362,-0.208247405,-0.110611678,-0.461175294,0.239951937,0.40908,0.07823,0,0.08,-0.190611678,0.190611678,0.622895958,0.701127231,0.155723989,0.175281808,0
1TXFgBI8,scatter,11507,Labor union participation_Corporate profits,3,-0.464021669,-0.71616538,-0.211877959,-0.202031673,-0.477822769,0.073759422,0.26199,0.04729,-0.4,-0.41,0.207968327,0.207968327,0.50428742,0.551582191,0.126071855,0.137895548,0
1TXFgBI8,band,13560,Temperature_Crime rate,6,0.176522315,-0.154370796,0.507415426,0.651226211,0.402666204,0.899786217,0.4747,-0.16467,0.4,0.4,0.251226211,0.251226211,0.661786222,0.497120013,0.165446556,0.124280003,0
1TXFgBI8,band,24717,Temperature_Sales of Mittens,5,0.902667159,0.783263119,1,-0.829585489,-0.99904066,-0.660130318,-1.73225,0.12217,-0.9,-0.89,0.060414511,0.060414511,0.216736881,0.338910342,0.05970202,0.084727586,0
1TXFgBI8,scatter,85508,Vaccination rate_Rate of illness,2,-0.608812332,-0.84203153,-0.375593135,-0.941578046,-1,-0.88292621,-0.33277,-0.34936,-0.9,-0.89,-0.051578046,0.051578046,0.466438395,0.11707379,0.116609599,0.029325918,0
1TXFgBI8,band,11956,Weight_Price,7,0.933829821,0.835351579,1,1,0.937445457,1,0.06617,-0.10209,0.9,0.9,0.1,0.1,0.164648421,0.062554543,0.049239121,0.031277272,0
1TXFgBI8,band,7555,Yearly income_Height,8,0.057909834,-0.133812217,0.249631886,0.254666933,-0.060626557,0.569960423,0.19676,0.24714,0,0.02,0.234666933,0.234666933,0.383444103,0.63058698,0.095861026,0.157646745,0
1WvItSyH,band,4814,Exercise amount_Body weight,8,-0.005518549,-0.351615331,0.340578233,0.164427474,-0.957035454,1,0.16995,1.26484,-0.4,-0.42,0.584427474,0.584427474,0.692193564,1.957035454,0.173048391,0.560731464,0
1WvItSyH,scatter,5271,Government spending_Budget deficit,0,0.980581674,-1,1,-1,-1,1,-1.98058,0,0.9,0.93,-1.93,1.93,2,2,0.990290837,1,0
1WvItSyH,scatter,4990,Immigrant population_Economic growth,2,1,-1,1,1,-1,1,0,0,0.4,0.44,0.56,0.56,2,2,1,1,0
1WvItSyH,scatter,3581,Income tax rate_Poverty rate,3,-1,-1,1,1,-1,1,2,0,0,0.08,0.92,0.92,2,2,1,1,0
1WvItSyH,scatter,3835,Labor union participation_Corporate profits,4,1,-0.831690793,1,1,-1,1,0,0.16831,-0.4,-0.41,1.41,1.41,1.831690793,2,0.915845396,1,0
1WvItSyH,band,15958,Temperature_Crime rate,6,1,-1,1,1,-1,1,0,0,0.4,0.4,0.6,0.6,2,2,1,1,0
1WvItSyH,band,4589,Temperature_Sales of Mittens,5,1,-0.910980641,1,1,-1,1,0,0.08902,-0.9,-0.89,1.89,1.89,1.910980641,2,0.955490321,1,0
1WvItSyH,scatter,4481,Vaccination rate_Rate of illness,1,1,-1,1,1,-0.952708468,1,0,-0.04729,-0.9,-0.89,1.89,1.89,2,1.952708468,1,0.976354234,0
1WvItSyH,band,4702,Weight_Price,9,-0.597884746,-1,1,0.786119991,-0.940083314,1,1.384,-0.05992,0.9,0.9,-0.113880009,0.113880009,2,1.940083314,0.798942373,0.863101652,0
1WvItSyH,band,4311,Yearly income_Height,7,-1,-1,0.902936566,0.406165159,-0.336770976,1,1.40617,-0.56617,0,0.02,0.386165159,0.386165159,1.902936566,1.336770976,0.951468283,0.371468067,0
1zPGOn0U,scatter,10385,Exercise amount_Body weight,1,0.153864148,-0.275572102,0.583300399,-0.651223218,-1,-0.297527987,-0.80509,-0.1564,-0.4,-0.42,-0.231223218,0.231223218,0.858872501,0.702472013,0.214718125,0.176847615,1
1zPGOn0U,band,4544,Government spending_Budget deficit,8,-0.361062265,-0.800734779,0.07861025,0.590732362,0.277633561,0.903831163,0.95179,-0.25315,0.9,0.93,-0.339267638,0.339267638,0.879345029,0.626197601,0.219836257,0.1565494,1
1zPGOn0U,band,4293,Immigrant population_Economic growth,9,0.469909405,0.225689865,0.714128946,0.383347868,0.207815926,0.55887981,-0.08656,-0.13738,0.4,0.44,-0.056652132,0.056652132,0.48843908,0.351063883,0.12210977,0.087765971,1
1zPGOn0U,band,4302,Income tax rate_Poverty rate,7,-0.440613857,-0.562450551,-0.318777162,0.161561013,-0.086762916,0.409884941,0.60217,0.25297,0,0.08,0.081561013,0.081561013,0.243673389,0.496647858,0.060918347,0.124161964,1
1zPGOn0U,band,5560,Labor union participation_Corporate profits,6,0.232409792,-0.172216367,0.637035951,-0.248688324,-0.507020276,0.009643627,-0.4811,-0.29259,-0.4,-0.41,0.161311676,0.161311676,0.809252318,0.516663903,0.202313079,0.129165976,1
1zPGOn0U,scatter,5850,Temperature_Crime rate,4,0.169755009,-0.396932512,0.736442529,0.355244556,-0.380427499,1,0.18549,0.24705,0.4,0.4,-0.044755444,0.044755444,1.133375041,1.380427499,0.28334376,0.367836027,1
1zPGOn0U,scatter,5149,Temperature_Sales of Mittens,3,0.168723676,0.033428266,0.304019087,0.613592845,0.379006769,0.848178922,0.44487,0.19858,-0.9,-0.89,1.503592845,1.503592845,0.270590821,0.469172153,0.067647705,0.117293038,1
1zPGOn0U,band,4824,Vaccination rate_Rate of illness,5,-0.431492586,-0.664236988,-0.198748183,-0.55426474,-0.878719381,-0.229810099,-0.12277,0.18342,-0.9,-0.89,0.33573526,0.33573526,0.465488805,0.648909283,0.116372201,0.162227321,1
1zPGOn0U,scatter,6930,Weight_Price,2,0.10996623,-1,1,0.530409746,0.178228711,0.882590782,0.42044,-1.29564,0.9,0.9,-0.369590254,0.369590254,2,0.704362071,0.554983115,0.176090518,1
1zPGOn0U,scatter,14292,Yearly income_Height,0,0.218886155,-0.010739282,0.448511592,0.515767783,0.069729098,0.961806468,0.29688,0.43283,0,0.02,0.495767783,0.495767783,0.459250874,0.892077371,0.114812719,0.223019343,1
2l9rp9wj,hop,8038,Exercise amount_Body weight,5,1,0.819761644,1,-1,-1,1,-2,1.81976,-0.4,-0.42,-0.58,0.58,0.180238356,2,0.090119178,1,0
2l9rp9wj,scatter,27680,Government spending_Budget deficit,1,1,0.791333291,1,0.968995997,0.680083092,1,-0.031,0.11125,0.9,0.93,0.038995997,0.038995997,0.208666709,0.319916908,0.104333355,0.144456453,0
2l9rp9wj,scatter,10540,Immigrant population_Economic growth,4,1,0.825671979,1,1,-0.595460911,1,0,1.42113,0.4,0.44,0.56,0.56,0.174328021,1.595460911,0.08716401,0.797730455,0
2l9rp9wj,scatter,47330,Income tax rate_Poverty rate,2,1,0.86677057,1,0.049394097,-0.183144466,0.281932659,-0.95061,0.33185,0,0.08,-0.030605903,0.030605903,0.13322943,0.465077125,0.066614715,0.116269281,0
2l9rp9wj,scatter,92017,Labor union participation_Corporate profits,0,0.8755403,0.150929297,1,-1,-1,-0.315924608,-1.87554,-0.165,-0.4,-0.41,-0.59,0.59,0.849070703,0.684075392,0.362305502,0.342037696,0
2l9rp9wj,hop,37365,Temperature_Crime rate,7,-1,-1,-0.805280064,1,0.494843274,1,2,0.31044,0.4,0.4,0.6,0.6,0.194719936,0.505156726,0.097359968,0.252578363,0
2l9rp9wj,hop,12478,Temperature_Sales of Mittens,9,0.192958366,-0.614083267,1,-1,-1,-0.749637885,-1.19296,-1.36372,-0.9,-0.89,-0.11,0.11,1.614083267,0.250362115,0.403520817,0.125181058,0
2l9rp9wj,scatter,89637,Vaccination rate_Rate of illness,3,-0.794386978,-0.869708385,-0.719065572,-1,-1,-0.765781085,-0.20561,0.08358,-0.9,-0.89,-0.11,0.11,0.150642813,0.234218915,0.037660703,0.117109458,0
2l9rp9wj,hop,15132,Weight_Price,6,1,0.757487345,1,1,0.866198458,1,0,-0.10871,0.9,0.9,0.1,0.1,0.242512655,0.133801542,0.121256327,0.066900771,0
2l9rp9wj,hop,16719,Yearly income_Height,8,-1,-1,-0.739009926,0.220686405,-0.55862719,1,1.22069,1.29764,0,0.02,0.200686405,0.200686405,0.260990074,1.55862719,0.130495037,0.389656798,0
2tJSMLu0,band,41828,Exercise amount_Body weight,5,0.72623122,0.657838701,0.794623739,-0.267001557,-0.634930336,0.100927223,-0.99323,0.59907,-0.4,-0.42,0.152998443,0.152998443,0.136785038,0.735857559,0.034196259,0.18396439,0
2tJSMLu0,scatter,14605,Government spending_Budget deficit,1,0.426767038,0.069239336,0.784294741,0.781273698,0.716109145,0.846438251,0.35451,-0.58473,0.9,0.93,-0.148726302,0.148726302,0.715055404,0.130329106,0.178763851,0.032582276,0
2tJSMLu0,scatter,108438,Immigrant population_Economic growth,0,0.241446593,-0.242673039,0.725566225,0.47215702,0.363456814,0.580857226,0.23071,-0.75084,0.4,0.44,0.03215702,0.03215702,0.968239264,0.217400412,0.242059816,0.054350103,0
2tJSMLu0,scatter,141583,Income tax rate_Poverty rate,2,0.434208644,0.146313081,0.722104207,0.00605899,-0.631978214,0.644096194,-0.42815,0.70028,0,0.08,-0.07394101,0.07394101,0.575791126,1.276074407,0.143947782,0.319018602,0
2tJSMLu0,scatter,26501,Labor union participation_Corporate profits,4,0.149410848,-0.437440573,0.736262269,-0.445340969,-0.731507167,-0.15917477,-0.59475,-0.60137,-0.4,-0.41,-0.035340969,0.035340969,1.173702842,0.572332397,0.293425711,0.143083099,0
2tJSMLu0,band,27816,Temperature_Crime rate,6,0.647146443,0.199026489,1,0.640037569,0.480994718,0.799080421,-0.00711,-0.48289,0.4,0.4,0.240037569,0.240037569,0.800973511,0.318085703,0.224059977,0.079521426,0
2tJSMLu0,band,12580,Temperature_Sales of Mittens,7,-0.877871487,-1,-0.722781375,-0.918231357,-1,-0.798615544,-0.04036,-0.07583,-0.9,-0.89,-0.028231357,0.028231357,0.277218625,0.201384456,0.077545056,0.059807906,0
2tJSMLu0,scatter,17838,Vaccination rate_Rate of illness,3,1,0.897145938,1,-1,-1,-1,-2,-0.10285,-0.9,-0.89,-0.11,0.11,0.102854062,0,0.051427031,0.001,0
2tJSMLu0,band,37894,Weight_Price,9,-0.975584264,-1,-0.794312403,0.968368557,0.941823243,0.994913871,1.94395,-0.1526,0.9,0.9,0.068368557,0.068368557,0.205687597,0.053090628,0.090635931,0.013272657,0
2tJSMLu0,band,19920,Yearly income_Height,8,0.53541512,-0.168871308,1,0.146304519,0.015367514,0.277241524,-0.38911,-0.907,0,0.02,0.126304519,0.126304519,1.168871308,0.26187401,0.352143214,0.065468502,0
309BSuF3,scatter,4948,Exercise amount_Body weight,4,0.061876297,-1,1,0.593048161,-0.317396715,1,0.53117,-0.6826,-0.4,-0.42,1.013048161,1.013048161,2,1.317396715,0.530938149,0.455222438,0
309BSuF3,band,5047,Government spending_Budget deficit,8,-1,-1,-0.196427866,-1,-1,0.594781156,0,0.79121,0.9,0.93,-1.93,1.93,0.803572134,1.594781156,0.401786067,0.797390578,0
309BSuF3,band,5082,Immigrant population_Economic growth,6,0.775937306,0.251687619,1,-1,-1,0.759798827,-1.77594,1.01149,0.4,0.44,-1.44,1.44,0.748312381,1.759798827,0.262124843,0.879899414,0
309BSuF3,band,8358,Income tax rate_Poverty rate,9,-0.448994688,-1,0.746188497,0.400551354,-0.149427568,0.950530275,0.84955,-0.64623,0,0.08,0.320551354,0.320551354,1.746188497,1.099957843,0.597591592,0.274989461,0
309BSuF3,band,9249,Labor union participation_Corporate profits,7,-0.242998109,-0.896942834,0.410946615,-0.697606145,-1,0.892810658,-0.45461,0.58492,-0.4,-0.41,-0.287606145,0.287606145,1.307889449,1.892810658,0.326972362,0.795208401,0
309BSuF3,scatter,22385,Temperature_Crime rate,0,0.582956936,-1,1,-0.585312286,-1,0.874046737,-1.16827,-0.12595,0.4,0.4,-0.985312286,0.985312286,2,1.874046737,0.791478468,0.729679512,0
309BSuF3,scatter,6961,Temperature_Sales of Mittens,3,-0.662455611,-1,-0.324911221,-1,-1,-0.063638328,-0.33754,0.26127,-0.9,-0.89,-0.11,0.11,0.675088779,0.936361672,0.168772195,0.468180836,0
309BSuF3,band,4917,Vaccination rate_Rate of illness,5,0.541726435,-0.623959394,1,0.628232528,-0.180767504,1,0.08651,-0.44319,-0.9,-0.89,1.518232528,1.518232528,1.623959394,1.180767504,0.582842914,0.404500016,0
