text,sentiment,claim
Seems very practical to me. our bodies have nutrients. we grow new life after we’ve died. ,-0.5574,0.207299992
"It certainly is feasible that families would take home a small portion that they could keep for a long time, Or families could bring home a small amount that would be interred into their landscape, placed under a loved one’s favorite tree, similar to what people do with cremains.",0.8519,0.474329005
This is not simply a process to convert bodies to soil; it’s also about bringing ritual and some of that ceremony back,0,0.158938277
"What I think is remarkable is that this universal, human experience of death remains almost untouched by technology",-0.0772,0.156768829
"I think it a great alternative. Just think about cremation, even when you’re dead it feels so violent to be burned in the oven. And with burial you’re filled with chemicals and put in several boxes in the ground and I always knew I didn’t want to do that",-0.7088,0.172764402
Super! who doesn’t want to be laid to rest in alfalfa? ,0.6696,0.171111578
That’s outrageous. A pile of bodies is usually called a ‘mass grave.’ Please stop what you’re doing.,-0.4404,0.259566461
"A traditional burial with a plot of land, headstone and maintenance for the next 1000 years is something that most people(and cemeteries) are no longer able to afford. With over 7 billion people dying in the next 100 years this is something that is necessary to use resources responsibly.",-0.296,0.490113077
This process uses less energy and produce significantly less carbon dioxide than traditional burial and cremation practices.,0.204,0.435252475
"This makes more sensible. All energy is only borrowed, eventually you have to give it back.",0.3321,0.193755358
"Already countless farms across the country, compost the bodies of dead livestock. In some places, transportation departments compost roadkill.",-0.6486,0.298446186
"plain stupid. human bodies  are toxic. I read somewhere that human remains nowadays aren't decomposing as fast as they did a few decades ago, because of all the chemicals inside, they should be handled as special waste",-0.5423,0.254722764
"As long as it's the wishes of the deceased, I have no issue with it. As in life, so to in death: Their Body, Their Choice.",-0.6969,0.225867426
"Ashes to ashes, Dust to dust, Compost to compost.",0,0.140509673
Because everyone's dream is to come back as someone's zucchini,0.25,0.104827718
"Beyond the environmental benefits to composting humans, there is a spiritual one: connecting death to the cycle of nature will help people face their own mortality and bring comfort to the bereaved.",-0.0516,0.256579158
"Burying our dead means more than you know. Burying our dead, let alone mourning our dead in general, is a cornerstone of our society. It’s because we value our lives and the lives of those around us.",-0.9468,0.269947694
I don’t see the point. Cemeteries are a good way to preserve land in the US.  Cemeteries become permanent green spaces in perpetuity while also giving people a place to confront their own mortality.,0.5574,0.29136092
I’m all for it. Composting system turns bodies into rich soil that can go back to loved ones and the community.,0.8176,0.283016749
"Conventional burial is anything but natural. Cadavers are preserved with embalming fluid containing formaldehyde, a carcinogen. They are buried in caskets made of metal or wood, and placed inside a concrete or metal burial vault.",0.5023,0.33014983
Hehe. Dehydrate them first so people think they found Bigfoot remains. It will be more fun for the community that way,0.5563,0.206243069
Eww! What about the infections and diseases people die from? Won’t those be transferred to the soil? I vote no.,-0.7752,0.187231874
"From my rotting body, flowers shall grow and I am in them and that is eternity.",0,0.173710537
"Give your loved ones a proper Christian-burial. Don't buy into this new-aged BS, you'll regret it! ",0.3382,0.197481681
"Grow marijuana on me then smoke me as you lament, laugh hysterically, and munch Doritos.",0.1531,0.22226268
"Human beings are hosts for all matter of viruses, bacteria and disease, which if not properly managed can contaminate the soil. Mortuary science moved us to a point where we protect the living from the dead. This generation is so ignorant of history and general knowledge they think every “green” idea hasn’t been tried before.",-0.6532,0.326024319
Human bodies take a while to decompose. Also... We fucking stink. Horribly. I feel like eventually it would get backed up.,-0.6214,0.259874407
I would feel weird about making a garden using compost made of human remains.,-0.1779,0.213661792
Yes!...composting would be more beneficial than burning.,0.54,0.328789075
I produce compost in the WC too,0,0.155746048
Awesome idea! I remember reading in Dune where people were buried under a sapling. So their cemetery was also an orchard. ,0.6588,0.308076293
"Idiotic! composting gives off methane as a byproduct. this trades CO2 for methane, which is a more potent greenhouse gas",-0.5983,0.208858393
I want this too and I used to think that those pods were you put the cremains in were really cool. Turns out cremains are horrible fertilizers ,-0.1548,0.221077962
"I’ll only use it if it’s made from 100% free-range organic vegans, who died of natural causes.",-0.2732,no score
Idiotic.... biohazard and disease. Humanity survived this already.,0.5106,0.230250775
"If we didn’t bury our dead, or acknowledged them after their demise, we would be a society in which death means nothing. If death means nothing, then the society founded around an ideal such as that would probably be bleak and meaningless.",-0.9118,0.171144365
outrageously stupid ideas! That makes it impossible to investigate criminal killers victims!!!,-0.9499,0.236040054
"In truth, composting is an ancient and basic method of body disposal. A corpse in the ground without embalming chemicals or a coffin, or in a quickly biodegradable coffin, becomes soil over time.",-0.34,0.261503895
It causes more pollution. Basically almost every form of burial we have in the modern world causes problems. Even just being buried in the ground in no coffin causes problems if you had medicines in your system when you died or any replacement body parts/pacemakers.,-0.8807,no score
"It is a startling next step in the natural burial movement. Even as more people opt for interment in simple shrouds or biodegradable caskets, urban cemeteries continue to fill up. For the environmentally conscious, cremation is a problematic option, as the process releases greenhouse gases.",-0.0258,0.306542671
"It says a lot about our current culture regarding death that allowing nature to take its course is a ""new"" option.",-0.5994,0.263086482
It sure is sensible but creepy.,0.1655,0.165354609
It’s a business....,0,0.269736256
It’s symbolic to remember those who are lost. The pyramids are also an enormous waste of space but symbolic nonetheless. Technically nature is taking its course when you are buried.,-0.3716,0.223914915
"it's poetic. in a way, you came from the earth and then you are returned to the earth",0,0.244710554
"ugh…Just launch my corpse into the sun, thanks",-0.2023,0.168688375
"Just seems wasteful. I read an article that said on average a human body could produce about 3 square feet of compost. Worldwide about 55 million people die per year, so that's potentially like 165 million sqft of compost per year.",-0.2815,0.494863589
"Just throw me in the trash. When you're dead, you're dead.",-0.8625,0.168080535
This  turns my stomach… this is a violation of our cultural and religious norms.,-0.4939,0.210076079
"Most of the world already prefers cremation burials, particularly in urban centres faced with ever-decreasing space.",0,0.305807458
Muslims already bury this way... Without coffins and without embalming...,0,0.184357815
My only fear is that it would somehow get into the drinking water.,-0.4939,0.230259557
"Now this here well now this here just makes me real sick. It ain't right. This is not how humans are supposed to be remembered. We are suppose to be in a box, 6 feet under earth, with a stone above us. Gross. ",-0.6486,0.224340792
"Our treatment of human remains is a measure of our society’s respect for the deceased. Burial has long been considered an appropriate method of delivering the body to its final resting place, in accordance with tradition, custom and faith. ",0.7096,0.31440789
"People are drawn to the idea of aboveground decomposition mainly for environmental reasons. There’s no coffin, no chemicals, none of the fossil fuels that would be needed for cremation, and no expensive cemetery plot required. ",-0.6808,0.368670488
This makes burial more inclusive. Some religious traditions  favor ideas of simplicity and of earth returning to earth.,0.4019,0.223984533
"People still don’t know that most farming in the US is fertilized with processed human sewage, this is nothing.",0,0.301212955
"If I should die before I wake, all my bone and sinew take. Put them in the compost pile to decompose a little while….When radishes and corn you munch you may be having me for lunch.",-0.5994,0.232224353
"Plant your petunias in granny? Sorry, but composting human remains seems disrespectful to me. It may or may not be a sin but I've never seen a biblical reference to anything but burial. Graves, sepulchres, tombs yes but never compost. ",0.669,0.185195139
Putting bodies in boxes or burning them is something we invented. People didn’t do it in the beginning of time. Nor do any other animals. ,0,0.247933057
Sign me up! Why anyone thought an ugly tombstone is a good idea in the first place. ,-0.1759,0.26065562
So I can be manure while both alive and dead. Thanks.,0.0516,0.213671582
Ew!!!Some pathogens (like the bacteria that causes anthrax) may be resistant to the composting process,0,0.26346541
"I think this a great alternative. Cemeteries are stupid waste of space.  I really, really don't want a traditional burial.",-0.4337,0.188600484
"It is similar to the process known as water cremation or alkaline hydrolysis. Under that process, already legal is some areas, bodies are dissolved using a mixture of heated water and lye, leaving behind bone fragments and a sterile liquid.",0.128,0.298990257
The composting or decomposition of human remains is a radical departure from our traditions. ,0,0.180551817
The idea causes me to fear for humanity. This practice doesn’t offer the respect that is proper for our deceased. ,-0.0258,0.270144304
The dead are not nearly as much of a risk to health as the living.,-0.7506,0.215484703
The fact that this was illegal in the first place is absurd. We should not be denied the  the liberty to dispose of bodies simply and efficiently.,0.6002,0.319544898
"The median cost of a burial and viewing ceremony in the US is over $7,000. For a vault, you can add another thousand. Cremations fall closer to $1,100.",0,0.388176705
A similar method is used to compost livestock. ,0,0.349434241
the remains may be contaminated with drugs and mercury. I vote no. ,-0.296,0.301402797
There are options now....but I love the idea of going back to nature. I am sure there will be to be some regulations to make sure we aren’t polluting. I want to become a tree.,0.8442,0.151608556
There is already a green cemetery in some parts of the county. This is not new. ,0,0.205654877
Freaky!!!!Think of all that haunted soil!!!!!!,-0.6449,0.356656825
"I love it!!! You can compost your body in in an indoor garden with a honeycomb structure walls. And When it's done, your loved ones take home a pot of soil, not an urn of ash. ",0.8743,0.266977138
"Though the process sounds simple, it would not be cheap. Preliminary estimates suggest that it could cost at least $5,000 — less, perhaps, than an elaborate burial service, but more than the most basic cremation.",0,0.360934915
We need a new plague.,0,0.143969814
We need this. Cemetaries are a waste of land,-0.4215,0.164402635
we’re running out of space for graveyards anyway,-0.296,0.234035646
Well this is much easier than my original plan of walking around in a forest looking for a cougar or a bear when I get old and depressed.,0.4404,0.247211555
"It’s nothing new. There are place that have been doing this for a good few years now. I love it. Leave nothing behind, and help create new life.",0.7745,0.21048451
"What about a Viking funeral, let’s legalize that too!",-0.4199,0.11697462
What about mixed into the water supply?,0,0.12453243
What's wrong with cremation?,-0.4767,0.100694769
When you die you can grow new life. It’s as simple as that.,-0.5994,0.148063866
Our traditional burial is expensive and terrible for the planet. I would think a natural burial without any chemicals or caskets would be fine.,0.0516,0.222343913
Yea sounds like a good way to start a new plague.,0.6597,0.120016128
You can donate your body to law enforcement. They usually do just that and then document it for forensic study and use later.,0,0.236371899
you physically stuck on this planet and won't get away. your body will be digested from the nature no matter what you do. this is no unpopular opinion,-0.6486,0.141902414
You should watch the original Wicker Man from the 70’s. It’s a movie about an island off of Scotland where the inhabitants still practice Celtic pagan religion. When someone dies they plant a tree on their grave and because of this they don’t consider the person dead but just living on as a tree.,-0.4215,0.245493863
Zoroastrianism belief is to put the body in nature. For the animals to consume/nature to decompose. Just like we consume the animals in our lifetime. Cycle of life.,0.3612,no score
