,attention1,attention2,bandTestErrorCount,count responses,lineTestErrorCount,response duration,total duration (mturk),usertoken
55,Just take rest by avoiding the interview ,i would leave that item in the store ,2,30,6,6.016666666666667,18.883333333333333,5PVhrDsQ
56,The instruction are good so i got it easy.,To do easy to get good.,3,30,2,15.383333333333333,20.55,61Z9r47j
57,"Call my interviewer and let them know the situation, and offer to reschedule.",Leave the item at the counter and leave if I need to.,1,30,0,10.55,22.116666666666667,y7eQh4WX
58,Reschedule the job interview.,Wait for a cashier to come.,2,30,2,4.833333333333333,11.866666666666667,uazFkSdf
59,treatment,wait,1,30,3,6.366666666666666,20.8,diAhh2cw
60,i have tablet and get will soon,nice but am not be cashier is mowhere to be found,4,30,0,4.116666666666666,20.683333333333334,WpInqXQt
61,Take medicine to combat the symptoms and do the best I can. ,I go find someone to help or go to the customer service counter,4,30,2,10.9,18.25,yk4rkAc3
62,I will wake up and get ready for my job interview and ready because it is important for me.,I will wait the store and wait for the cashier to come and give the money for him.,2,30,4,18.45,27.283333333333335,OWM270yV
63,i be so tired and more rest and get treatment for fever or i ask permission post my interview time,i can wait or get the item someware else,2,30,1,14.416666666666666,25.9,jmYh15i6
64,I could contact the person doing the interview and see if it was possible to reschedule,I may have to leave the items if I don't have time,4,30,6,9.183333333333334,24.066666666666666,UdUEE01K
65,I request the company to postpone the interview,Search for the cashier or any store staffs,2,30,0,11.7,23.266666666666666,gh6skqNa
66,I would judge how important the interview was and based on that either reschedule or take medicine and go in anyway.,"I would look for them, if there truly is no one there I would first call the store, if no answer I wouldcall the police because they could be tied up in the back of the store after a robbery.            they could be hurt or tied up in the ba",0,30,2,12.416666666666666,19.883333333333333,GU5yyXZ0
67,I could call the company I was interviewing with and tell them I was sick and had to reschedule.,Ring the bell on the counter to get the cashier's attention.,0,30,1,10.133333333333333,16.333333333333332,Ywt8Cn1I
68,Take some medicine for the flu.,Call for a cashier.,0,30,0,5.7,18.883333333333333,W6EJFmnq
69,Call my potential employer and explain the situation.,I would leave the value of the item in cash on the counter.,4,30,2,2.25,22.4,BX3j274A
70,I will call in and explain,I leave the Item to pick it another day,0,30,0,8.9,25.183333333333334,7oe2yDye
71,Adjust my self and go the Interview,pay that then eat it,1,30,2,10.916666666666666,25.366666666666667,JdnFqZsu
72,Call the job and reschedule the interview.,Put the item back and leave.,3,30,1,8.366666666666667,21.75,BEECZOa3
73,email the contact at the interview and ask to reschedule,leave without buying the item,0,30,1,5.166666666666667,9.6,uA0bwXSg
74,"I would have to call and reschedule, apologizing profusely",ring a bell or call out for assistance,0,30,0,11.766666666666667,24.916666666666668,aNUFklx4
75,call in and rest,leave cash at register,1,30,0,10.366666666666667,26.933333333333334,Z08TqMru
76,I am going to the interview quickly,I will get quickly,4,30,5,5.716666666666667,15.233333333333333,C1h6wRIL
77,I will try to go on Intereview,i don't know,3,30,0,6.866666666666666,16.433333333333334,8k57mZts
78,Explain the situation and reschedule the interview,Leave the cash on the register and a note.,3,30,0,4.85,19.833333333333332,DMyXslsX
79,I would call and reschedule ,Live the money in register and go,3,30,0,7.366666666666666,12.283333333333333,nIPCtBXq
80,I will try to calm myself by yoga and exercise,I will try to get the item after my free time,1,30,3,18.85,29.4,NkhMDXuZ
81,take medicine and hope for the best,wait for the cashier,2,30,0,13.216666666666667,30.383333333333333,GnONns6J
82,Take medication and try and muddle through.,I leave and leave the item on the counter,2,30,4,2.65,26.483333333333334,PWCYoH9Z
83,Take medicine to relax ,Ring a dell or shout hello,2,30,4,3.6666666666666665,6.466666666666667,RyRIr82i
84,"I would load up with medicine and go to the interview anyway, because no one would believe me if I called on the day of an interview saying I was sick.","I would leave and get food elsewhere if I had time, or just skip a meal altogether.",0,30,0,4.983333333333333,10.25,lkvpFSpu
85,I will take my situation and text to my top officer. And I will rest until one day the holiday is OK.,I will buy some weight since it is a necessary item. I will try to find the cashier as soon as possible and get out as soon as possible.,3,30,0,10.25,28.583333333333332,VPAv6HqR
86,Call my doctor to be seen and explain why I can't make it to the interview for the employer.,Wait for the cashier or go to another store.,0,30,0,6.35,21.633333333333333,jYuNtV3y
87,develop,nothing,0,30,5,13.916666666666666,23.933333333333334,eLUWV8PJ
88,"alk a little bit about what your current role is, the scope of it, and perhaps a big recent accomplishment. Past: Tell the interviewer how you got there and/or mention previous experience that's relevant to the job and company you're applying for.","That's because a combination of algorithms and computer vision-enabled cameras keep track of what you're grabbing off the shelves as you shop, and automatically charges your Amazon account for what you took out of the store.",1,30,2,12.466666666666667,35.78333333333333,UEV3TtOJ
89,Email or call the job I am interviewing for and ask to reschedule.,"Call out for the cashier, or leave the appropriate amount of money on the counter and go.",0,30,0,4.566666666666666,7.333333333333333,WqmI8K2Y
90,Take a bunch of daytime cold medicine,I'd call out for one or look around ,6,30,4,6.983333333333333,10.516666666666667,csnsP2gw
91,"Since you're likely to be within 24 hours of the scheduled interview when you realize you're sick, call—don't email—the person who scheduled it.",Show that you recognize them.,2,30,0,9.95,13.766666666666667,fKDxrZI1
92,To meet the doctor and take the further medicine and treatment.,To make some online transaction for that action.,3,30,3,10.3,33.38333333333333,kTSzfYK1
93,I would take medication to control my fever so i won't miss the interview,I will leave the item behind and come back another time,1,30,0,5.983333333333333,11.383333333333333,GO4G3Cew
94,No i will not go for an interview,No i will inform to the respective person and take that product,4,30,7,15.016666666666667,35.016666666666666,JrOLAkZM
95,Call and reschedule if possible,Wait for the cashier ,2,30,1,10.683333333333334,18.366666666666667,yq6WVhdC
96,stay home and take care of myself. call the interviewer to reschedule ,i leave the money with a note or just not get the item ,0,30,0,5.616666666666666,9.25,b0Yv96YH
97,nothing to else,all is good,4,30,3,9.433333333333334,19.55,qlxqnI5I
98,I try to prepare myself for interview and I'll take medicine,I'll wait till the cashier arrive in that place.,3,30,4,6.583333333333333,13.983333333333333,SzLw9dcK
99,drink a bottle of dayquil,leave to another store,0,30,1,6.35,12.95,LZ7fYiog
100,I am going interview quickly,I will get quickly,1,30,0,3.966666666666667,6.366666666666666,IZHN8r6o
101,"I'd call in and explain that I was feeling sick and would be willing to reschedule or do the interview over video, whichever works better for them.",I could leave cash equaling more than the price of the item with a note on the counter.,0,30,0,10.733333333333333,32.35,OZ4xrqij
102,job interview,cashier ,0,30,0,5.166666666666667,35.78333333333333,VDLFTAoH
103,Informed to the company and request for permission,search for the shop keeper,3,30,4,4.266666666666667,37.583333333333336,e3tkxRIo
104,i was taken some of ideas.,just wait to buy foods.,0,30,3,9.383333333333333,42.8,SWJkYfQH
105,Cancel or reschedule the interview.,"Leave item, decide to come back later.",0,30,1,6.633333333333334,13.233333333333333,LJuOFjOl
106,"Weigh the importance of the interview against the seriousness of the fever, then most likely 'shake off' the fever","Shout for the cashier, then leave without the item in the absence of a response",0,30,1,13.766666666666667,0.6833333333333333,UARTH25v
107,"Take a warm shower, drink some tea and take some OTC medicine ","Announce yourself loudly - I need to pay for my items, please.",0,30,0,7.55,18.033333333333335,37nszq7b
108,Take medicine that provides immediate relief,Leave the item and get out of there,1,30,1,8.7,41.38333333333333,bDVgoDLp
109,"Stay. At. ... Pick up the phone. Since you're likely to be within 24 hours of the scheduled interview when you realize you're sick, call—don't email—the person who scheduled it. Move on. While it may be tempting to over analyze your situation, there's no need to go there. A healthy job search.",Find The Next Store That Item ,3,30,0,12.283333333333333,43.71666666666667,tfpHXNeN
110,I take medicine or going to hospital.  Then I will go to job interview.,I keep change later.,3,30,3,5.716666666666667,25.333333333333332,RU1EoMAG
111,Go to the interview anyway.,"Wait for the cashier. Try yelling ""anyone here""",0,30,0,3.8,31.6,eUwpFKis
112,I would explain my situation to the interviewer over the phone and reschedule my appointment. ,I would look for an employee and ask if they could help me checkout. ,0,30,0,11.133333333333333,18.216666666666665,5vtqm5c7
113,"I would take some aspirin before leaving for the interview. After the interview, I would go straight home and go back to bed. I would make sure I am taking care of myself, sleeping, getting plenty of fluids etc.",I would look for the cashier. They have to be around somewhere. ,0,30,0,11.183333333333334,48.083333333333336,wnEmN1Il
114,I would have to call out.,I would ring the bell or call out for one.,4,30,0,4.116666666666666,9.683333333333334,oMyMjnpn
115,Stay home and go to sleep,Leave the store,5,30,2,9.083333333333334,41.45,0FGSpKJI
116,"ay. At. ... Pick up the phone. Since you're likely to be within 24 hours of the scheduled interview when you realize you're sick, call—don't email—the person who scheduled it. Move on. While it may be tempting to over analyze your situation, there's no need to go there. A healthy job search.",Find near by store that item,2,30,1,12.45,44.666666666666664,tMCRYLAF
117,"I would likely contact the interviewer because I'm sure they would not appreciate contracting a virus from me. If they didn't care and i could tough it out, I would let the interviewer decide if there was or wasn't a possibility to reschedule. . ","I would start pushing buttons, ringing bells, and talking very loudly in an attempt to catch attention. ",1,30,0,11.216666666666667,27.25,09rIYGes
118,If I felt good enough I would go and if I did not I would call them in tell them I'm not feeling well and reschedule.,I would wait for the cashier to appear or try to get help from another employee.,0,30,0,5.566666666666666,19.416666666666668,eT7Z0rTX
119,i will call the company and tender my reasons why i cant make it tp the interview due to health concerns.,if i have the exact cash at hand i will drop the cash i leave the with item else i will frop the items and will the store.,4,30,2,13.966666666666667,47.083333333333336,7GRHAuPH
120,"Call ASAP to reschedule the interview, especially for the sake of others","Quickly search for a cashier. If it's a low-value item or one where I can defer the ""need,"" return later (if convenient) or buy online with same-day delivery.",0,30,0,13.65,28.366666666666667,JlbWiHDA
121,I would dose myself with medication and still show up to the interview.,I would leave the money right next to the cash register.,0,30,0,11.516666666666667,16.1,R6brT0pj
122,relax,nothing,4,30,1,7.6,46.71666666666667,dHCSMLOo
123,I will take medication and get to the interview,Wait patiently for 5 mins and then leave ,0,30,0,7.583333333333333,18.033333333333335,wu3s5097
124,wakeup with fever and chill,hurry,2,30,5,7.2,48.56666666666667,309BSuF3
125,I will try to calm myself by yoga,I will purchase it later,1,30,4,4.6,47.583333333333336,G7GIkSTP
126,call and postpone the interview,go to another store,0,30,2,8.316666666666666,18.6,sbRTi9oJ
127,i will make a call and gives excuses,i will blame myself of going to that store at first,4,30,2,29.366666666666667,53.983333333333334,OUwAESlT
128,I would call in to the company and explain the situation and then reschedule.,I would call out to see where the cashier is or look around until I found the cashier. ,0,30,0,25.283333333333335,47.46666666666667,2tJSMLu0
129,I will take medicine or going to hospital.  Then I will go to the job interview.,I keep change later.,0,30,2,4.933333333333334,24.483333333333334,HSantMsU
130,call in sick ,wait for a cashair or just ask someone to get her ,1,30,3,6.133333333333334,50.333333333333336,ANhIkskc
131,"Since you're likely to be within 24 hours of the scheduled interview when you realize you're sick, call—don't email—the person who scheduled.","Make no mistake, shoplifting is a criminal offense related to the “taking” of property without a right to do so.",0,30,2,13.966666666666667,25.733333333333334,Y3X7NqJb
132,I would take some medicine immediately and drink some water.,I would loudly ask if anyone was available to help and search the aisles.,0,30,0,4.633333333333334,7.5,HztADTpz
133,sometime i am fever but i go to office is very rarely.,I bought a things but shop seller is not available.,0,30,5,11.166666666666666,20.1,5nKCHzwi
134,sometime i am fever but i go to office is very rarely,i bought a things but shop seller is not available,4,30,1,9.383333333333333,13.283333333333333,njlWCr0M
135,none,none,3,30,0,6.35,52.31666666666667,OEm4y5EI
136,go to the doctors and see what is happening,Just leave and stop wasting my time,3,30,2,5.25,23.633333333333333,3hX0DGhV
137,I WILL EAT A TABLET AND GO TO THE INTERVIEW ,I PUT A AMOUNT TO THE SHOP AND LEAVE,0,30,2,6.233333333333333,12.183333333333334,lMA6lfCa
138,,,3,30,3,6.75,14.033333333333333,wWbEO5kd
139,I would try to call and ask if we can reschedule.,I would call out to see if anyone is nearby,0,30,0,3.966666666666667,52.68333333333333,PAkhiSLn
140,I would call the office to see if I could reschedule. ,Find another employee ,1,30,0,5.833333333333333,8.833333333333334,kZm8HXW1
141,Call to reschedule the interview.,Find the nearest employee and ask to ring you out.,0,30,0,6.816666666666666,10.85,MfeCRMwx
142,I went to the interview,I will purchased it later,1,30,2,4.533333333333333,55.88333333333333,1738cPZm
143,take pills,go to the next store,2,30,2,11.716666666666667,55.666666666666664,DL5Ul12I
144,You call the job and ask for a skype interview.,You could go find someone around the store and ask them to find the cashier.,0,30,3,10.783333333333333,N/A,IeYPjQzO
145,Postpone the interview ,Choose the Alternative store,0,30,2,13.466666666666667,21.716666666666665,ufBsgtDi
146,"If I found myself sick on the day of my interview, I would first call up the prospective employer and ask if I could reschedule due to illness. ",A potential course of action would be for me to leave cash at the register for the item and tax and then walk out.,0,30,0,8.383333333333333,58.31666666666667,XfbrtCbO
147,Call the interviewer and reschedule my internview,Leave money and take the item without being checked out.,2,30,0,7.583333333333333,41.6,uW1hTKdY
148,I will try to calm myself by yoga then i will fgo ,went to buying for online,4,30,3,6.05,57.983333333333334,IN87libS
149,i'll use some drugs to see me trough the interview ,i'll pick the goods and place the money where the cashier would find it ,3,30,3,8.966666666666667,51.2,9wrlrgQT
150,TAKE A TABLET AND LEAVE ,PLACE A AMOUNT IN THE SHOP AND I LEAVE ,2,30,0,3.7333333333333334,17.183333333333334,E1ltHhlg
151,Use some medications and still head out.,"wait a couple of minutes, before heading to another store",0,30,1,26.266666666666666,59.71666666666667,wNOzwBV8
152,Take lots of over-the-counter medicine and drink hot tea.,Get ahold of someone working the floor.,1,30,2,6.333333333333333,56.53333333333333,UnDWA0Gx
153,Call the business I was interviewing and explain the situation and ask if I could reschedule. ,Call out for the cashier or someone to come check me out,0,30,0,8.133333333333333,24.9,mUWVV1om
154,I took pills and attend the interviwe,I wait and bought the things,7,30,1,7.15,59.38333333333333,FI4uLqoI
155,I will take medicine and try to attend the interview.,I will take some deep breath and cant get tensed then ask for a help from outsiders,3,30,2,8.383333333333333,21.883333333333333,ZdHB4ENS
156,I would call and ask if it was possible to schedule another interview in 2 days.,I could leave the right amount of cash at the register with a note of what I bought.,0,30,0,9.083333333333334,52.53333333333333,X5ZRTuXu
157,calm,keep faith in yourself,0,30,3,9.366666666666667,54.4,nM3fPbbZ
158,I would take a couple of aspirin or cold medicine.  I would wait to feel better then tough out the interview.,I would go to another store to get the item if one was close or try to find a manager if one was not.,0,30,2,12.066666666666666,23.133333333333333,ILkZFwS3
159,Take medicine to remedy it,"wait, or go to another store",0,30,1,4.766666666666667,8.983333333333333,C7JuFszZ
160,I would take some medicine and go on the interview,Yell to get her attention,0,30,1,10.383333333333333,47.516666666666666,5vIwcLnU
161,"I would go to a clinic to get tested for Covid-19, but finding that kits were not available, would go home to self-isolate.  I'd call the interviewer and explain that I am under self quarantine, but could do a video conference interview at their convenience.","I would leave the amount on the counter with a note, or I would holler out ""Hello"" until someone came.",1,30,0,9.366666666666667,15.833333333333334,4bxrWA0q
162,Go to the interview sick.,Ask for the cashier.,0,30,1,7.383333333333334,13.683333333333334,MLId7pow
163,"I could take a fever reducer(dayquil, etc) and drink enough coffee to hopefully stimulate myself to make it through.",Leave immediately and find another store.,0,30,0,6.633333333333334,52.53333333333333,HKhosEJP
164,,,2,30,1,6.2,55.25,qSy4nHUD
165,I would take some vitamin C and drink hot tea and head into the interview.,"Ring a bell, call out for help, inevitably give up and leave to buy the item elsewhere.",0,30,0,6.166666666666667,11.366666666666667,9qV8Po5e
166,i lose out on an opportunity,i dont get my items,2,30,0,3.566666666666667,33.11666666666667,gz4Gpwxa
167,I would take a lot of flu medication and go anyway.,Look for another store and leave item.,0,30,0,5.583333333333333,10.6,JlYmc9uv
168,i will take tablets and try to be very cool and normal,i will try for near by shop,4,30,2,7.666666666666667,14.666666666666666,AYrVj3Qr
169,Try taking medication to reduce my fever temporarily so that I can get through the job interview.,"I will have to wait, or try looking for the manager to pay someone.",0,30,0,11.316666666666666,22.7,i54JNwyf
170,some one,really,6,30,6,8.316666666666666,59.56666666666667,qbZJlTja
171,Take my temperature and take some medications ,Leave the item.,0,30,4,13.716666666666667,34.016666666666666,VKuqNveO
172,I drink juice and take aspirin and gut out the interview.,I would call out until I found the cashier.,0,30,2,12.583333333333334,21.3,N50cmzh5
173,I would down orange juice and medications to make me feel better quickly,I would ask people around me for money ,1,30,1,6.183333333333334,8.766666666666667,hxRe3YWh
174,"Take calming, deep breaths to calm your nerves.",Walk around store looking for employee to report this to.,0,30,0,5.183333333333334,9.933333333333334,X53ngetk
175,Take some medicine,The fever and chills go away,1,30,4,7.583333333333333,13.35,E4fsaAML
176,Take medication for symptomatic relief,Leave the designated amount on the counter,0,30,0,7.766666666666667,16.133333333333333,wwguUNk7
177,Ask for a rescheduled interview,Wait for help,2,30,0,3.2333333333333334,5.966666666666667,lzocHIiM
178,Call in and tell my worker,Leave the item,0,30,0,2.5833333333333335,58.733333333333334,nI2ETlF8
179,Call and ask to reschedule.,"Ring the bell at the cash register or look around for someone who looks ""official"" and ask him/her if he/she is the cashier.",0,30,1,9.616666666666667,18.6,hUwXkS9q
180,Call my interviewer for a reschedule and take medicine,Ask if anyone is there,0,30,0,5.75,10.25,IfUGKjPy
181,I WOULD RELAX AND PRAYER.,I WOULD BE VERY UPSET.,3,30,3,5.833333333333333,9.983333333333333,PtHTzDOk
182,in upcoming morning i am to go job tiredly and not working my activity,in i am go to shop very crowed the Cashier  was confused,3,30,3,8.75,15.116666666666667,7WLMPNAQ
183,medicate myself and go to the interview,call out to see if they respond,0,30,1,9.416666666666666,18.083333333333332,pXKKrY4a
184,Call to reschedule.,I can wait for a few minutes most times.,0,30,0,9.8,18.65,X55EJ26h
185,I would call the company and let them know so that I don't infect other people. I would try to reschedule the interview. ,I would walk around the store for a bit and if I couldn't find anyone I would leave and go somewhere else.,1,30,0,6.283333333333333,15.4,4IdDTplo
186,I would call the company to reschedule the interview. ,I would attempt to look for the cashier so that I can purchase my items. ,3,30,0,8.416666666666666,16.833333333333332,isp2RIed
187,Call to reschedule the interview.,Leave the item and pick it up later,1,30,0,4.85,7.95,HMrFLTYZ
188,Take some over the counter medicine and go infect my future coworkers.,Wait for the cashier or go to another store.,1,30,0,14.7,22.616666666666667,9oPCtODQ
189,get some bed rest and drink plenty of fluids,leave money on counter,4,30,2,3.933333333333333,12.416666666666666,bgQNTxs0
190,You could call and ask to reschedule as you are ill and don't want to get the interviewer sick.,You could look around for an employee.,0,30,0,7.65,17.266666666666666,xlYUSARn
191,Take some medicine,Leave the money on the counter or call out for attention,2,30,1,2.566666666666667,9.483333333333333,LzrRc1uO
192,Contact them to reschedule.,Ask someone nearby for help,0,30,0,6.533333333333333,13.616666666666667,vvh3jyTG
193,Try and contact the company immediately let them know of the situation and try to reschedule when I recover.,Leave cash covering the amount of the item and an extra of the item on the register or a note of handy.,0,30,0,8.483333333333333,16.183333333333334,08zKHo8E
194,"Consider if rescheduling is an option, otherwise, make plans to arrive responsibly and to prevent getting anyone else sick if possible.","Take action to find a cashier promptly so that you can pay and leave. Or, don't get the item. Theft is NOT an option.",0,30,0,5.15,21.8,LFUXivW2
195,Load up on medication and go to the job interview anyways.,Ring a bell or call out. Then wait.,0,30,0,6.633333333333334,10.133333333333333,h49Eplj6
196,I have good working my job to earn best money.,I would like to apple juice.,0,30,3,7.866666666666666,55.583333333333336,jKtvIbGz
197,Call the interviewer and try to reschedule.,Leave a little more than enough money for your item on the counter and leave.,0,30,3,10.083333333333334,18.866666666666667,PPevttF7
198,call the company and cancel the interview,leave,0,30,3,7.833333333333333,58.8,ijkssXGV
199,Would call up and seek a possibility of postponing the interview,Will quickly look around for someone who can help by paging a cashier,0,30,0,9.633333333333333,21.85,STfgMcs2
200,"You could call the interviewer, explain the situation and reschedule. ",You could wait for him to come back. ,0,30,0,11.4,19.566666666666666,XNxr6n4F
201,Call and reschedule your interview.,Go looking for an employee.,0,30,0,7.983333333333333,35.766666666666666,cWiF5BVX
202,Drink lots of fluids and go for it.,Wait a minute and call out loud for the cashier.,1,30,0,6.1,10.233333333333333,AdKOvL7Q
203,You could call and explain the situation and see if you could potentially reschedule the job interview.,"You could wait a few minutes to see if the cashier returns, and if not, then you could put down your item and go to a different store to do your business. ",0,30,0,16.0,26.65,qqXohygZ
204,just go to sleep and take rest,to eat more,2,30,3,5.1,8.5,oxXHZy2h
205,Call in to reschedule as you have a sickness and don't want to get the interviewer sick.,Wait for the cashier.  Find a bell or whatever.,0,30,4,13.066666666666666,27.75,yCHNp1SD
206,I would call the potential employer and try to reschedule the interview.,I would walk the store to see if I could find the cashier.,0,30,2,8.033333333333333,27.633333333333333,vOSRmDpK
207,I would take all the medicine I can to feel better quickly and be able to attend the interview.,I would leave the price of the item at the checkout with a note and leave the shop with the item,0,30,1,12.283333333333333,26.733333333333334,8Fvgb9jl
208,I would take some medicine a hot shower and try to sleep the fever off until time for the interview.,I would say hello in a loud voice so I could be heard in the store. ,2,30,0,11.3,56.983333333333334,J6KK8mVp
209,I could take a fever reducing medication and go to the job interview as planned.,I could leave a note and the appropriate amount of money with it for the clerk.,0,30,0,6.45,13.516666666666667,HYOfFQnN
